# Synchrotron Beamline - Construction & Spatial Guide
# Generated: 9/9/2026, 7:39:49 PM
# Total Beamline Length: 50 m | Components: 25
Sequence #,Component Name,Type,Center Position X (m),Optics Physical Length (m),Chamber Footprint Length (m),Upstream Face X_start (m),Downstream Face X_end (m),Asymmetric Chamber,Show Footprint Box,Show Footprint Text,Show Label,Locked,Lock Length,Lock Center,Major Color,Minor Color,Clearance to Next (m),Next Component,Elevation Y (mm),Lateral Offset Z (mm),Wall/Enclosure Width (m),Wall/Enclosure Height (m),Ray Color,Ray Width,Ray Style,Show Ray Arrow,Animate Ray,Misc A,Misc B,Misc C,Misc D,Label Side X (px),Label Side Y (px),Label Top X (px),Label Top Y (px),Enclosure / Section
1,"IVU19",SOURCE,0.000,0.988,0.988,-0.988,0.000,NO,YES,NO,YES,YES,NO,NO,"","",20.700,"Wall",0.0,0.0,,,"#ef4444",1.0,"dashed",NO,YES,"Undulator","19","52","dashed",,,,,"Open Beamline"
2,"Wall",WALL,20.850,0.300,0.300,20.700,21.000,NO,NO,NO,YES,NO,YES,NO,"","",0.750,"WBS",-,-,5.000,5.000,"",,"",,,"5","5","","",,-10.9,4.6,,"Open Beamline"
3,"WBS",SLIT,22.000,0.300,0.500,21.750,22.250,NO,YES,NO,YES,NO,NO,NO,"","",0.725,"Filter",0.0,0.0,,,"",,"",,,"","","","",0.0,17.5,-1.4,14.6,"Open Beamline"
4,"Filter",FILTER,23.000,0.600,0.050,22.975,23.025,NO,YES,NO,YES,NO,NO,NO,"","",0.150,"FSM",0.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
5,"FSM",SCREEN,23.300,0.600,0.250,23.175,23.425,NO,YES,NO,YES,NO,NO,NO,"#e0ffec","",0.025,"VCM",0.0,0.0,,,"",,"",,,"","","","",0.6,14.3,1.7,15.4,"Open Beamline"
6,"VCM",VFM,24.050,1.000,1.200,23.450,24.650,NO,YES,NO,YES,YES,NO,NO,"","",0.000,"FSM",0.0,0.0,,,"",,"",,,"1","0","","0.3",1.1,14.6,2.0,15.7,"Open Beamline"
7,"FSM",SCREEN,24.800,0.600,0.300,24.650,24.950,NO,YES,NO,YES,NO,NO,NO,"#e0ffec","",0.050,"CCM",0.0,0.0,,,"",,"",,,"","","","",0.6,14.3,1.7,15.4,"Open Beamline"
8,"CCM",VDCM,25.500,1.200,1.200,25.000,26.200,YES,YES,NO,YES,YES,NO,NO,"","",1.050,"FSM",0.0,0.0,,,"",,"",,,"25","45","0.5","0.5",5.7,12.6,6.9,13.7,"Open Beamline"
9,"Side Anchor",ANCHOR_SIDE,25.100,0.000,0.000,25.100,25.100,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",10.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
10,"FSM",SCREEN,27.500,0.600,0.500,27.250,27.750,NO,YES,NO,YES,NO,NO,NO,"","",0.250,"HFM",25.0,0.0,,,"",,"",,,"","","","",-0.3,14.0,0.9,14.6,"Open Beamline"
11,"HFM",HFM,28.600,1.000,1.200,28.000,29.200,NO,YES,NO,YES,YES,NO,NO,"","",1.050,"XBPM",25.0,0.0,,,"",,"",,,"1","0","","0.3",0.3,14.0,,,"Open Beamline"
12,"XBPM",XBPM,30.500,0.425,0.500,30.250,30.750,NO,YES,NO,YES,NO,NO,NO,"","",0.000,"FSM",26.0,3.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
13,"FSM",SCREEN,31.000,0.600,0.500,30.750,31.250,NO,YES,NO,YES,NO,NO,NO,"","",0.150,"VFM",27.0,4.0,,,"",,"",,,"","","","",3.6,20.0,,,"Open Beamline"
14,"VFM",VFM,32.000,1.000,1.200,31.400,32.600,NO,YES,NO,YES,YES,NO,NO,"","",1.300,"Wall (Copy)",28.0,6.0,,,"",,"",,,"1","0","","0.3",,,,,"Open Beamline"
15,"Wall (Copy)",WALL,33.950,0.100,0.100,33.900,34.000,NO,NO,NO,NO,YES,YES,NO,"","",3.250,"XBPM",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
16,"Side Anchor",ANCHOR_SIDE,35.700,0.000,0.000,35.700,35.700,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",30.0,0.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
17,"XBPM",XBPM,37.500,0.425,0.500,37.250,37.750,NO,YES,NO,NO,NO,NO,NO,"","",0.100,"Wall",30.0,15.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
18,"Wall",WALL,37.900,0.100,0.100,37.850,37.950,NO,NO,NO,NO,YES,YES,NO,"","",0.000,"Screen",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
19,"Screen",SCREEN,38.200,0.600,0.500,37.950,38.450,NO,YES,NO,NO,NO,NO,NO,"","",0.050,"DHRM",30.0,16.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
20,"DHRM",HFM,39.000,0.800,1.000,38.500,39.500,NO,YES,NO,YES,YES,NO,NO,"","",0.450,"Slit",30.0,18.0,,,"",,"",,,"0.8","0","","0.3",2.8,15.2,3.7,14.3,"Open Beamline"
21,"Slit",SLIT,40.000,0.300,0.100,39.950,40.050,NO,YES,NO,NO,NO,NO,NO,"","",0.200,"Screen",30.0,20.0,,,"",,"",,,"","","","",-2.9,9.1,,,"Open Beamline"
22,"Screen",SCREEN,40.500,0.600,0.500,40.250,40.750,NO,YES,NO,NO,NO,NO,NO,"","",0.225,"Sample",30.0,20.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
23,"Top Anchor",ANCHOR_TOP,40.600,0.000,0.000,40.600,40.600,NO,NO,NO,NO,NO,NO,NO,"","",N/A,"",0.0,20.0,,,"",,"",,,"","","","",,,,,"Open Beamline"
24,"Sample",SAMPLE,41.000,0.600,0.050,40.975,41.025,NO,YES,NO,YES,YES,NO,NO,"","",8.875,"Wall (Copy) (Copy)",25.0,20.0,,,"",,"",,,"NO","","","",8.6,13.7,8.3,11.4,"Open Beamline"
25,"Wall (Copy) (Copy)",WALL,49.950,0.100,0.100,49.900,50.000,NO,NO,NO,NO,YES,YES,NO,"","",0.000,"End of Beamline",-,-,5.000,5.000,"",,"",,,"5","5","","",,,,,"Open Beamline"
